Chr,GeneID,GeneName,Start,Stop,CodingLength,Liver-1,Liver-2,Liver-3,Adipose-1,Adipose-2,Adipose-3,Marrow-1,Marrow-2,Marrow-3
chr1,ENSG00000233750,CICP27,131025,134836,3812,2.752752732,3.805824636,2.788523048,1.87404254,1.239046424,1.772054342,2.484851662,2.557183728,3.52634705
chr1,ENSG00000225972,MTND1P23,564442,564813,372,187.1046032,165.1619925,171.5512425,168.0986412,228.4367488,297.074687,201.6001715,192.0951089,168.5567672
chr1,ENSG00000225630,MTND2P28,565020,566063,1044,949.9612041,878.0253369,701.7783004,806.1060127,1104.225512,1669.990827,933.7117515,987.8986761,926.0921463
chr1,ENSG00000237973,hsa-mir-6723,566454,567996,1543,5913.50471,5037.953614,5131.290087,5284.60661,4686.344901,5989.271051,4234.647063,5503.299118,5743.016671
chr1,ENSG00000229344,RP5-857K21.7,568137,568818,682,920.6443875,1241.225169,878.058617,1047.381553,1021.16418,1105.847104,899.1360575,934.1179058,998.4019244
chr1,ENSG00000240409,MTATP8P1,568915,569121,207,357.981729,580.5771987,386.1859814,401.1938372,429.7591824,514.7817863,378.6790133,477.1678198,451.6083861
chr1,ENSG00000248527,MTATP6P1,569076,569756,681,1090.723215,1528.82135,966.2966182,1189.303092,1254.91888,1465.795642,1247.068348,1323.076206,1365.063363
chr1,ENSG00000198744,RP5-857K21.11,569756,570302,547,1045.013756,1381.959705,1018.642577,1021.457298,1251.355491,1267.904882,1067.486968,1310.636572,1257.070623
chr1,ENSG00000237491,RP11-206L10.9,714150,745440,5517,3.206956933,4.035253781,3.147280399,2.498723387,1.383752576,2.930705258,2.573280547,2.024437118,4.142474601
chr1,ENSG00000228794,LINC01128,762988,794826,8525,6.551551502,4.737037047,6.506553778,6.440162064,7.44332268,7.991283522,17.11983209,8.723725737,13.24018781
chr1,ENSG00000187634,SAMD11,860260,879955,3205,4.376876844,5.047441184,4.745381327,6.499655478,14.82333642,22.52553692,6.844395682,5.35410343,5.964639062
chr1,ENSG00000188976,NOC2L,879584,894689,5539,38.1393891,39.02994627,39.15347273,47.77321143,65.79607837,67.71292264,61.26353137,44.89722055,46.79947572
chr1,ENSG00000187961,KLHL17,895967,901095,3395,6.234984938,7.166286815,4.435545433,4.194285686,6.267585197,5.41839693,9.806763322,3.542764956,6.292366483
chr1,ENSG00000188290,HES4,934342,935552,1118,2.628878859,0.607312442,2.054701193,0.074366767,0.144706152,0.340779681,0.053057331,0.106549322,0.039327291
chr1,ENSG00000187608,ISG15,948803,949920,711,13.63988979,12.22722383,12.06729272,15.69138794,14.50679171,12.69404312,8.312315169,18.39307671,16.66166208
chr1,ENSG00000188157,AGRN,955503,991496,10756,543.8338298,254.6123673,425.8775901,220.9139195,187.0598335,182.4023243,185.541486,189.2582332,142.4303372
